category_top,ab_group,sessions,conversions,gross_revenue,discount_cost,net_revenue,conversion_rate,revenue_per_session,segment_type,price_bucket,user_type
stationery,B,34,6,298.49,59.698,238.792,0.17647058823529413,7.023294117647059,category_top+price_bucket,$25-$100,
stationery,A,1075,70,1542.14,0.0,1542.14,0.06511627906976744,1.4345488372093025,category_top+price_bucket,<$25,
stationery,B,1014,298,2315.73,463.146,1852.584,0.2938856015779093,1.8270059171597635,category_top+price_bucket,<$25,
unknown,A,10709,271,34946.79,0.0,34946.79,0.025305817536651416,3.2633102997478756,category_top+price_bucket,$100-$300,
unknown,B,10364,1334,203755.57,39519.946,164235.624,0.12871478193747588,15.846741026630646,category_top+price_bucket,$100-$300,
unknown,A,42733,2020,129372.52,0.0,129372.52,0.04727025951840498,3.027461680668336,category_top+price_bucket,$25-$100,
unknown,B,42236,8885,460290.49,91807.182,368483.308,0.21036556492092054,8.724389336111374,category_top+price_bucket,$25-$100,
unknown,A,218,8,1379.15,0.0,1379.15,0.03669724770642202,6.326376146788991,category_top+price_bucket,$300-$1k,
unknown,B,229,11,2668.1899999999996,422.406,2245.7839999999997,0.048034934497816595,9.806917030567684,category_top+price_bucket,$300-$1k,
unknown,A,356825,11688,353843.67,0.0,353843.67,0.03275555244167309,0.9916448399075176,category_top+price_bucket,<$25,
unknown,B,352951,89502,923608.95,184280.85,739328.1,0.25358194196928185,2.094704647387314,category_top+price_bucket,<$25,
unknown,A,2274,0,0.0,0.0,0.0,0.0,0.0,category_top+price_bucket,nan,
unknown,B,915,181,0.0,0.0,0.0,0.19781420765027322,0.0,category_top+price_bucket,nan,
